Frame	X	Y	VelX	VelY	Angle	AngularVel	Leg1	Leg2
213	-0.13919	0.03478	-0.73781	-0.29806	2.24595	2.72110	0	0
214	-0.14751	0.02911	-0.74107	-0.31896	2.37963	2.67594	0	0
215	-0.15600	0.02275	-0.74839	-0.33954	2.51053	2.62023	0	0
216	-0.16464	0.01567	-0.75448	-0.36194	2.63937	2.57890	0	0
217	-0.17388	0.01257	-0.79019	-0.17979	2.78498	2.91505	0	0
218	-0.00699	1.40445	-0.35964	-0.15655	0.00997	0.11928	0	0
219	-0.01061	1.40032	-0.36973	-0.18358	0.01795	0.15963	0	0
220	-0.01431	1.39560	-0.38086	-0.20999	0.02816	0.20410	0	0
221	-0.01808	1.39028	-0.38844	-0.23656	0.03987	0.23430	0	0
222	-0.02194	1.38437	-0.40052	-0.26319	0.05400	0.28254	0	0
223	-0.02587	1.37785	-0.40826	-0.29023	0.06967	0.31344	0	0
224	-0.02986	1.37074	-0.41730	-0.31691	0.08713	0.34936	0	0
225	-0.03393	1.36303	-0.42632	-0.34423	0.10641	0.38557	0	0
226	-0.03806	1.35470	-0.43382	-0.37160	0.12720	0.41572	0	0
227	-0.04228	1.34578	-0.44467	-0.39879	0.15014	0.45900	0	0
228	-0.04658	1.33624	-0.45556	-0.42670	0.17530	0.50323	0	0
229	-0.05116	1.32760	-0.48235	-0.38690	0.20001	0.49426	0	0
230	-0.05574	1.31837	-0.48241	-0.41363	0.22472	0.49418	0	0
231	-0.06032	1.30855	-0.48246	-0.44035	0.24942	0.49408	0	0
232	-0.06490	1.29814	-0.48252	-0.46707	0.27412	0.49399	0	0
233	-0.06949	1.28714	-0.48257	-0.49380	0.29881	0.49389	0	0
234	-0.07414	1.27552	-0.48995	-0.52162	0.32503	0.52435	0	0
235	-0.07886	1.26327	-0.49879	-0.55087	0.35321	0.56367	0	0
236	-0.08364	1.25040	-0.50661	-0.57905	0.38303	0.59657	0	0
237	-0.08848	1.23691	-0.51342	-0.60791	0.41441	0.62754	0	0
238	-0.09338	1.22279	-0.52038	-0.63663	0.44734	0.65877	0	0
239	-0.09838	1.20803	-0.53154	-0.66679	0.48283	0.70989	0	0
240	-0.10344	1.19265	-0.53873	-0.69552	0.51993	0.74194	0	0
241	-0.10858	1.17661	-0.54900	-0.72645	0.55957	0.79296	0	0
242	-0.11379	1.15991	-0.55591	-0.75786	0.60127	0.83397	0	0
243	-0.11907	1.14256	-0.56414	-0.78806	0.64507	0.87602	0	0
244	-0.12429	1.12472	-0.55586	-0.81036	0.68655	0.82945	0	0
245	-0.12948	1.10634	-0.54954	-0.83413	0.72633	0.79574	0	0
246	-0.13463	1.08746	-0.54296	-0.85673	0.76410	0.75543	0	0
247	-0.13974	1.06805	-0.53657	-0.87955	0.79994	0.71671	0	0
248	-0.14480	1.04814	-0.52900	-0.90107	0.83331	0.66752	0	0
249	-0.14980	1.02774	-0.52072	-0.92223	0.86403	0.61431	0	0
250	-0.15476	1.00681	-0.51506	-0.94537	0.89299	0.57923	0	0
251	-0.15968	0.98538	-0.50872	-0.96644	0.91951	0.53030	0	0
252	-0.16456	0.96348	-0.50165	-0.98630	0.94311	0.47215	0	0
253	-0.16939	0.94108	-0.49538	-1.00712	0.96419	0.42160	0	0
